BR-AP,Amapa,987,207
BR-BA,Bahia,1141,420
BR-ES,Espirito Santo,1163,533
BR-GO,Goias,1015,482
BR-MA,Maranhao,1087,311
BR-MT,Mato Grosso,930,431
BR-MS,Mato Grosso do Sul,935,558
BR-MG,Minas Gerais,1100,520
BR-PA,Para,962,306
BR-PR,Parana,986,619
BR-PI,Piaui,1132,341
BR-RS,Rio Grande do Sul,961,709
BR-SC,Santa Catarina,1015,663
BR-SP,Sao Paulo,1034,576
BR-TO,Tocantins,1038,393
